timestamp,sport,game_title,outcome,price,market_id
2026-05-03 19:19:06+00:00,MLB,New York Mets vs. Los Angeles Angels,New York Mets,0.545,2096064
2026-05-03 19:18:04+00:00,MLB,Philadelphia Phillies vs. Miami Marlins,Miami Marlins,0.014,2096049
2026-05-03 19:18:05+00:00,MLB,Philadelphia Phillies vs. Miami Marlins,Philadelphia Phillies,0.986,2096049
2026-05-03 19:19:06+00:00,MLB,Philadelphia Phillies vs. Miami Marlins,Miami Marlins,0.485,2105230
2026-05-03 19:19:06+00:00,MLB,Philadelphia Phillies vs. Miami Marlins,Philadelphia Phillies,0.515,2105230
2026-05-03 19:18:04+00:00,MLB,San Francisco Giants vs. Tampa Bay Rays,San Francisco Giants,0.725,2096052
2026-05-03 19:18:04+00:00,MLB,San Francisco Giants vs. Tampa Bay Rays,Tampa Bay Rays,0.275,2096052
2026-05-03 19:19:06+00:00,MLB,Texas Rangers vs. Detroit Tigers,Detroit Tigers,0.543,2096070
2026-05-03 19:19:06+00:00,MLB,Texas Rangers vs. Detroit Tigers,Texas Rangers,0.457,2096070
2026-05-03 19:18:04+00:00,MLB,Toronto Blue Jays vs. Minnesota Twins,Minnesota Twins,0.9445,2096035
2026-05-03 19:18:04+00:00,MLB,Toronto Blue Jays vs. Minnesota Twins,Toronto Blue Jays,0.0555,2096035
2026-05-03 19:19:06+00:00,MLB,Toronto Blue Jays vs. Tampa Bay Rays,Tampa Bay Rays,0.58,2105232
2026-05-03 19:19:06+00:00,MLB,Toronto Blue Jays vs. Tampa Bay Rays,Toronto Blue Jays,0.42,2105232
2026-05-03 19:18:04+00:00,NBA,76ers vs. Knicks,76ers,0.285,2144490
2026-05-03 19:18:04+00:00,NBA,76ers vs. Knicks,Knicks,0.715,2144490
2026-05-03 19:18:04+00:00,NBA,76ers vs. Knicks,76ers,0.355,2144498
2026-05-03 19:18:05+00:00,NBA,76ers vs. Knicks,Knicks,0.645,2144498
2026-05-03 19:18:04+00:00,NBA,Knicks vs. 76ers,76ers,0.39,2144505
2026-05-03 19:18:05+00:00,NBA,Knicks vs. 76ers,Knicks,0.61,2144505
2026-05-03 19:18:05+00:00,NBA,Lakers vs. Thunder,Lakers,0.115,2139307
2026-05-03 19:18:04+00:00,NBA,Lakers vs. Thunder,Thunder,0.885,2139307
2026-05-03 19:18:05+00:00,NBA,Lakers vs. Thunder,Lakers,0.17,2139310
2026-05-03 19:18:04+00:00,NBA,Lakers vs. Thunder,Thunder,0.83,2139310
2026-05-03 19:18:04+00:00,NBA,Magic vs. Pistons,Magic,0.265,2091302
2026-05-03 19:18:04+00:00,NBA,Magic vs. Pistons,Pistons,0.735,2091302
2026-05-03 19:18:04+00:00,NBA,Raptors vs. Cavaliers,Cavaliers,0.735,2091252
2026-05-03 19:18:04+00:00,NBA,Raptors vs. Cavaliers,Raptors,0.265,2091252
2026-05-03 19:18:04+00:00,NBA,Spurs vs. Timberwolves,Spurs,0.74,2137011
2026-05-03 19:18:04+00:00,NBA,Spurs vs. Timberwolves,Timberwolves,0.26,2137011
